ATS;ASST;CDC;INDIRIZZO STRUTTURA;NUMERO SERVIZI ATTIVI;% SERVIZI ATTIVI
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Accursio Milano;Piazzale Accursio, 7 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Aldini Milano;Via Aldini, 72/4 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Milano Clericetti;Via Clericetti, 22 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Milano Quarenghi;Via Quarenghi, 21 - Milano (MI);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Xxv Aprile Bozzolo;Via Xxv Aprile, 71 - Bozzolo (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' De Gasperi Viadana;Largo De Gasperi, 7 - Viadana (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Albertoni Mantova;Viale Albertoni, 1 - Mantova (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Cesare Battisti Sermide E Felonica;Via Cesare Battisti, 29 - Sermide E Felonica (MN);13;100%
Ats Pavia;Asst Pavia;Casa Di Comunita' Corteolona-Genzone;Viale Dei Longobardi, 3 - Corteolona E Genzone (PV);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Donatori Edolo;Piazza Donatori Di Sangue, 1 - Edolo (BS);13;100%
Ats Pavia;Irccs S. Matteo;Casa Di Comunita' Cavallotti Belgioioso;Via Cavallotti, 123 - Belgioioso (PV);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Rampanone Lomazzo;Via Del Rampanone, 1 - Lomazzo (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Isonzo Mariano Comense;Via Isonzo, 42/B - Mariano Comense (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Giuseppe Verdi Ponte Lambro;Via Giuseppe Verdi, 3 - Ponte Lambro (CO);13;100%
Ats Pavia;Irccs S. Matteo;Casa Di Comunita' Golgi Pavia;Piazzale Golgi, 19 - Pavia (PV);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Vanzago Cornaredo;Via Vanzago, 58 - Cornaredo (MI);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' G. Falcone Montichiari;Via G. Falcone, 20 - Montichiari (BS);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Mezzocolle Desenzano Del Garda;Via Mezzocolle - Desenzano Del Garda (BS);0;0%
Ats Insubria;Asst Lariana;Casa Di Comunita' Domea Cantu';Via Domea, 4 - Cantù (CO);13;85%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Borgazzi Monza;Via Borgazzi, 67 - Monza (MB);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Stampa Soncino Saronno;Via Stampa Soncino, 4 - Saronno (VA);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Gosa Gavardo;Via Torsella, 3 - Gavardo (BS);0;0%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Liberta' Ponte San Pietro;Piazza Liberta', 5 - Ponte San Pietro (BG);12;92%
